Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 07:25:00 2023,245045280,571904,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:30:00 2023,11356040,129488,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:35:00 2023,17661248,238432,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:40:00 2023,8778336,418536,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:45:00 2023,19036168,1236288,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:50:00 2023,10794440,980112,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 07:55:00 2023,7586600,49546664,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:00:00 2023,11652504,1710768,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:05:00 2023,8959976,623944,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:10:00 2023,23009288,689168,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:15:00 2023,60338472,933104,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:20:00 2023,202779184,527144,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:25:00 2023,152888008,674968,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:30:00 2023,195243672,130832,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:35:00 2023,210452848,725568,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:40:00 2023,166727256,1571136,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:45:00 2023,142007264,2197232,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:50:00 2023,206833136,474232,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 08:55:00 2023,121772880,756104,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:00:00 2023,167171960,1161104,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:05:00 2023,124576024,611896,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:10:00 2023,135985808,309080,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:15:00 2023,75225600,527416,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:20:00 2023,502637872,489504,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:25:00 2023,45572520,2326896,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:30:00 2023,17536040,531760,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:35:00 2023,28862472,5146984,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:40:00 2023,50336408,215904,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:45:00 2023,13829152,1435200,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:50:00 2023,28051704,1109696,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 09:55:00 2023,13770248,192928,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 10:00:00 2023,15101752,234720,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 10:05:00 2023,21186352,1086168,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 10:10:00 2023,16994704,1008680,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 10:15:00 2023,21346264,705576,15075000000,15075000000,15000000000,15075000000
