Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 07:25:00 2023,120142936,600105888,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:30:00 2023,209637592,561345168,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:35:00 2023,152324784,692728448,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:40:00 2023,142391552,701517416,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:45:00 2023,162265488,677066256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:50:00 2023,166279984,673538688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:55:00 2023,275745832,774642424,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:00:00 2023,302279088,888930016,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:05:00 2023,322680944,1071141720,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:10:00 2023,317200264,1205250968,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:15:00 2023,341631968,1187234832,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:20:00 2023,333602224,1449513904,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:25:00 2023,346459640,1588069864,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:30:00 2023,463482816,1700904400,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:35:00 2023,389484608,1482226904,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:40:00 2023,452928512,2721602488,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:45:00 2023,413245832,1610808736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:50:00 2023,402289552,1532380344,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:55:00 2023,380535224,1701458944,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:00:00 2023,416659744,1451531952,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:05:00 2023,580101440,1704790128,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:10:00 2023,599498144,2087066640,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:15:00 2023,403903992,1622818672,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:20:00 2023,385492168,1453265424,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:25:00 2023,469001832,1578630600,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:30:00 2023,528497016,1375033440,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:35:00 2023,500221840,2084199208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:40:00 2023,446822216,2027413768,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:45:00 2023,377698304,1475642272,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:50:00 2023,339637168,1541587080,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:55:00 2023,339422920,1762782088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:00:00 2023,392020184,1914603688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:05:00 2023,469508240,2088486304,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:10:00 2023,475636320,1818484568,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:15:00 2023,450897208,1765203808,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:20:00 2023,417238904,1826990768,20100000000,20100000000,20000000000,20100000000
