Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 07:25:00 2023,232392,534536,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:30:00 2023,239040,554000,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:35:00 2023,225296,546736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:40:00 2023,235952,651104,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:45:00 2023,239264,753800,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:50:00 2023,740656,129336080,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 07:55:00 2023,32681768,1095216,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:00:00 2023,6567488,815008,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:05:00 2023,491248,6457360,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:10:00 2023,280048,609216,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:15:00 2023,284616,605472,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:20:00 2023,509056,28523256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:25:00 2023,307104,645728,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:30:00 2023,487896,600120,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:35:00 2023,280240,575776,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:40:00 2023,451208,1173600,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:45:00 2023,423768,892248,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:50:00 2023,445376,1274048,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 08:55:00 2023,496456,1282912,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:00:00 2023,305112,886624,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:05:00 2023,15485488,966560,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:10:00 2023,18222904,32754992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:15:00 2023,1151160,1189072,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:20:00 2023,20515672,662016,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:25:00 2023,2543968,31446864,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:30:00 2023,328688,708304,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:35:00 2023,538976,2152600,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:40:00 2023,408152,688568,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:45:00 2023,365688,664816,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:50:00 2023,404160,683008,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 09:55:00 2023,459512,706480,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:00:00 2023,1364992,705456,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:05:00 2023,374568,892472,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:10:00 2023,1326656,710632,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:15:00 2023,1255744,31342136,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:20:00 2023,434760,909960,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:25:00 2023,401816,680992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:30:00 2023,463912,835656,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:35:00 2023,1162752,3357584,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:40:00 2023,1588624,33547984,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:45:00 2023,1803056,6434912,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:50:00 2023,28610440,6171664,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 10:55:00 2023,1284664,3347624,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:00:00 2023,51413728,32622552,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:05:00 2023,1478160,4437296,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:10:00 2023,1744440,32874096,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:15:00 2023,1451448,3824696,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:20:00 2023,1868424,61504608,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:25:00 2023,224488664,36751208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:30:00 2023,1554872,34274208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:35:00 2023,1294208,3694944,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:40:00 2023,1702384,24571136,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:45:00 2023,125076976,4561152,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:50:00 2023,134267960,3773920,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 11:55:00 2023,25471840,4214688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:00:00 2023,1634480,4152752,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:05:00 2023,1336280,4232608,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:10:00 2023,27430256,2963480,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:15:00 2023,391712,1439248,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:20:00 2023,589232,2294632,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:25:00 2023,42995936,4269648,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:30:00 2023,521496,1244112,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:35:00 2023,41117360,1102728,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:40:00 2023,12798544,1260384,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:45:00 2023,878616,20007448,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:50:00 2023,30972904,1388528,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 12:55:00 2023,701640,18589880,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:00:00 2023,330760,630568,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:05:00 2023,373712,675640,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:10:00 2023,422120,32676168,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:15:00 2023,485960,2154208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:20:00 2023,312816,684784,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:25:00 2023,309536,8441008,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:30:00 2023,597296,847680,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:35:00 2023,347968,646680,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:40:00 2023,15230304,1390024,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:45:00 2023,41695088,2329264,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:50:00 2023,41567320,2616096,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 13:55:00 2023,10312744,1654400,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:00:00 2023,10547264,30509360,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:05:00 2023,22359704,30120616,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:10:00 2023,569608,813352,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:15:00 2023,127408592,1178176,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:20:00 2023,2070344,1842360,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:25:00 2023,24471320,34055712,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:30:00 2023,3680720,3748208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:35:00 2023,4341984,126083344,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:40:00 2023,3851184,3889240,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:45:00 2023,3773248,3928984,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:50:00 2023,2923088,4061392,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 14:55:00 2023,3719520,3842216,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:00:00 2023,3954952,266437880,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:05:00 2023,18528808,3343840,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:10:00 2023,507712,886584,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:15:00 2023,767072,980808,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:20:00 2023,22185208,1014736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:25:00 2023,1520384,2069848,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:30:00 2023,711440,30791848,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 15:35:00 2023,475800,691264,20100000000,20100000000,20000000000,20100000000
